LGA-1151-2,,,,
Pin,Unit,Type,Name,Side
E14,UNIT_C,INPUT,CFG[16],RIGHT
G18,UNIT_C,INPUT,CFG[18],RIGHT
F14,UNIT_C,INPUT,CFG[17],RIGHT
F18,UNIT_C,INPUT,CFG[19],RIGHT
W2,UNIT_D,INPUT,PCI_BCLKN,LEFT
W1,UNIT_D,INPUT,PCI_BCLKP,LEFT
G7,UNIT_D,I/O,PECI,LEFT
L7,PWR,NC,PEG_RCOMP,RIGHT
B7,UNIT_D,INPUT,PEG_RXN[0],RIGHT
C6,UNIT_D,INPUT,PEG_RXN[1],RIGHT
M5,UNIT_D,INPUT,PEG_RXN[10],RIGHT
N4,UNIT_D,INPUT,PEG_RXN[11],RIGHT
P5,UNIT_D,INPUT,PEG_RXN[12],RIGHT
R4,UNIT_D,INPUT,PEG_RXN[13],RIGHT
T5,UNIT_D,INPUT,PEG_RXN[14],RIGHT
U4,UNIT_D,INPUT,PEG_RXN[15],RIGHT
D5,UNIT_D,INPUT,PEG_RXN[2],RIGHT
E4,UNIT_D,INPUT,PEG_RXN[3],RIGHT
F5,UNIT_D,INPUT,PEG_RXN[4],RIGHT
G4,UNIT_D,INPUT,PEG_RXN[5],RIGHT
H5,UNIT_D,INPUT,PEG_RXN[6],RIGHT
J4,UNIT_D,INPUT,PEG_RXN[7],RIGHT
K5,UNIT_D,INPUT,PEG_RXN[8],RIGHT
L4,UNIT_D,INPUT,PEG_RXN[9],RIGHT
B8,UNIT_D,INPUT,PEG_RXP[0],RIGHT
C7,UNIT_D,INPUT,PEG_RXP[1],RIGHT
M6,UNIT_D,INPUT,PEG_RXP[10],RIGHT
N5,UNIT_D,INPUT,PEG_RXP[11],RIGHT
P6,UNIT_D,INPUT,PEG_RXP[12],RIGHT
R5,UNIT_D,INPUT,PEG_RXP[13],RIGHT
T6,UNIT_D,INPUT,PEG_RXP[14],RIGHT
U5,UNIT_D,INPUT,PEG_RXP[15],RIGHT
D6,UNIT_D,INPUT,PEG_RXP[2],RIGHT
E5,UNIT_D,INPUT,PEG_RXP[3],RIGHT
F6,UNIT_D,INPUT,PEG_RXP[4],RIGHT
G5,UNIT_D,INPUT,PEG_RXP[5],RIGHT
H6,UNIT_D,INPUT,PEG_RXP[6],RIGHT
J5,UNIT_D,INPUT,PEG_RXP[7],RIGHT
K6,UNIT_D,INPUT,PEG_RXP[8],RIGHT
L5,UNIT_D,INPUT,PEG_RXP[9],RIGHT
A6,UNIT_D,OUTPUT,PEG_TXN[0],RIGHT
B5,UNIT_D,OUTPUT,PEG_TXN[1],RIGHT
L2,UNIT_D,OUTPUT,PEG_TXN[10],RIGHT
M3,UNIT_D,OUTPUT,PEG_TXN[11],RIGHT
N2,UNIT_D,OUTPUT,PEG_TXN[12],RIGHT
P3,UNIT_D,OUTPUT,PEG_TXN[13],RIGHT
R1,UNIT_D,OUTPUT,PEG_TXN[14],RIGHT
T3,UNIT_D,OUTPUT,PEG_TXN[15],RIGHT
C4,UNIT_D,OUTPUT,PEG_TXN[2],RIGHT
D3,UNIT_D,OUTPUT,PEG_TXN[3],RIGHT
E2,UNIT_D,OUTPUT,PEG_TXN[4],RIGHT
F3,UNIT_D,OUTPUT,PEG_TXN[5],RIGHT
G2,UNIT_D,OUTPUT,PEG_TXN[6],RIGHT
H3,UNIT_D,OUTPUT,PEG_TXN[7],RIGHT
J2,UNIT_D,OUTPUT,PEG_TXN[8],RIGHT
K3,UNIT_D,OUTPUT,PEG_TXN[9],RIGHT
A5,UNIT_D,OUTPUT,PEG_TXP[0],RIGHT
B4,UNIT_D,OUTPUT,PEG_TXP[1],RIGHT
L1,UNIT_D,OUTPUT,PEG_TXP[10],RIGHT
M2,UNIT_D,OUTPUT,PEG_TXP[11],RIGHT
N1,UNIT_D,OUTPUT,PEG_TXP[12],RIGHT
P2,UNIT_D,OUTPUT,PEG_TXP[13],RIGHT
R2,UNIT_D,OUTPUT,PEG_TXP[14],RIGHT
T2,UNIT_D,OUTPUT,PEG_TXP[15],RIGHT
C3,UNIT_D,OUTPUT,PEG_TXP[2],RIGHT
D2,UNIT_D,OUTPUT,PEG_TXP[3],RIGHT
E1,UNIT_D,OUTPUT,PEG_TXP[4],RIGHT
F2,UNIT_D,OUTPUT,PEG_TXP[5],RIGHT
G1,UNIT_D,OUTPUT,PEG_TXP[6],RIGHT
H2,UNIT_D,OUTPUT,PEG_TXP[7],RIGHT
J1,UNIT_D,OUTPUT,PEG_TXP[8],RIGHT
K2,UNIT_D,OUTPUT,PEG_TXP[9],RIGHT
J8,PWR,NC,RSVD_TP,RIGHT
J7,PWR,NC,RSVD_TP,RIGHT
L8,PWR,NC,IST_TRIG,RIGHT
K8,PWR,NC,RSVD_TP,RIGHT
D8,UNIT_D,OUTPUT,PM_DOWN,LEFT
E8,UNIT_D,INPUT,PM_SYNC,LEFT
B10,UNIT_D,OUTPUT,PROC_PRDY#,LEFT
B9,UNIT_D,INPUT,PROC_PREQ#,LEFT
C39,UNIT_D,I/O,PROCHOT#,LEFT
E7,UNIT_D,INPUT,RESET#,LEFT
AB35,PWR,NC,RSVD,RIGHT
AB37,PWR,NC,RSVD,RIGHT
AB38,PWR,NC,RSVD,RIGHT
AC37,PWR,NC,RSVD,RIGHT
AJ22,PWR,NC,RSVD,RIGHT
D15,PWR,NC,RSVD,RIGHT
K11,PWR,NC,RSVD,RIGHT
AB36,PWR,NC,PROC_SELECT#,RIGHT
AC38,PWR,NC,SKTOCC#,RIGHT
J15,PWR,NC,RSVD,RIGHT
AU9,PWR,NC,RSVD,RIGHT
J14,PWR,NC,RSVD,RIGHT
AU10,PWR,NC,RSVD,RIGHT
D11,UNIT_D,OUTPUT,THERMTRIP#,RIGHT
A25,PWR,PWR,VCC,LEFT
A26,PWR,PWR,VCC,LEFT
A27,PWR,PWR,VCC,LEFT
A28,PWR,PWR,VCC,LEFT
A29,PWR,PWR,VCC,LEFT
A30,PWR,PWR,VCC,LEFT
AJ11,PWR,PWR,VCC,LEFT
AJ12,PWR,PWR,VCC,LEFT
AJ13,PWR,PWR,VCC,LEFT
AJ14,PWR,PWR,VCC,LEFT
AJ15,PWR,PWR,VCC,LEFT
AJ16,PWR,PWR,VCC,LEFT
AJ17,PWR,PWR,VCC,LEFT
AJ18,PWR,PWR,VCC,LEFT
AJ19,PWR,PWR,VCC,LEFT
AJ20,PWR,PWR,VCC,LEFT
AJ21,PWR,PWR,VCC,LEFT
AJ25,PWR,PWR,VCC,LEFT
AJ26,PWR,PWR,VCC,LEFT
AJ27,PWR,PWR,VCC,LEFT
AJ28,PWR,PWR,VCC,LEFT
AJ29,PWR,PWR,VCC,LEFT
AK21,PWR,PWR,VCC,LEFT
B25,PWR,PWR,VCC,LEFT
B27,PWR,PWR,VCC,LEFT
B29,PWR,PWR,VCC,LEFT
B31,PWR,PWR,VCC,LEFT
B32,PWR,PWR,VCC,LEFT
B33,PWR,PWR,VCC,LEFT
B34,PWR,PWR,VCC,LEFT
B35,PWR,PWR,VCC,LEFT
B36,PWR,PWR,VCC,LEFT
B37,PWR,PWR,VCC,LEFT
C25,PWR,PWR,VCC,LEFT
C26,PWR,PWR,VCC,LEFT
C27,PWR,PWR,VCC,LEFT
C28,PWR,PWR,VCC,LEFT
C29,PWR,PWR,VCC,LEFT
C30,PWR,PWR,VCC,LEFT
C32,PWR,PWR,VCC,LEFT
C34,PWR,PWR,VCC,LEFT
C36,PWR,PWR,VCC,LEFT
D25,PWR,PWR,VCC,LEFT
D27,PWR,PWR,VCC,LEFT
D29,PWR,PWR,VCC,LEFT
D31,PWR,PWR,VCC,LEFT
D32,PWR,PWR,VCC,LEFT
D33,PWR,PWR,VCC,LEFT
D34,PWR,PWR,VCC,LEFT
D35,PWR,PWR,VCC,LEFT
D36,PWR,PWR,VCC,LEFT
E24,PWR,PWR,VCC,LEFT
E25,PWR,PWR,VCC,LEFT
E26,PWR,PWR,VCC,LEFT
E27,PWR,PWR,VCC,LEFT
E28,PWR,PWR,VCC,LEFT
E29,PWR,PWR,VCC,LEFT
E30,PWR,PWR,VCC,LEFT
E32,PWR,PWR,VCC,LEFT
E34,PWR,PWR,VCC,LEFT
E36,PWR,PWR,VCC,LEFT
F23,PWR,PWR,VCC,LEFT
F24,PWR,PWR,VCC,LEFT
F25,PWR,PWR,VCC,LEFT
F27,PWR,PWR,VCC,LEFT
F29,PWR,PWR,VCC,LEFT
F31,PWR,PWR,VCC,LEFT
F32,PWR,PWR,VCC,LEFT
F33,PWR,PWR,VCC,LEFT
F34,PWR,PWR,VCC,LEFT
F35,PWR,PWR,VCC,LEFT
F37,PWR,PWR,VCC,LEFT
G23,PWR,PWR,VCC,LEFT
G24,PWR,PWR,VCC,LEFT
G25,PWR,PWR,VCC,LEFT
