QCA8337,,,,
Number,Unit,Type,Name,Side
B31,UNIT_PWR,POWER,AVDD1V2,LEFT
B34,UNIT_PWR,POWER,AVDD1V2,LEFT
B37,UNIT_PWR,POWER,AVDD1V2,LEFT
A78,UNIT_PWR,POWER,AVDD1V2,LEFT
A3,UNIT_PWR,POWER,GND,RIGHT
A5,UNIT_PWR,POWER,GND,RIGHT
B39,UNIT_PWR,POWER,GND,RIGHT
B55,UNIT_PWR,POWER,GND,RIGHT
A68,UNIT_PWR,POWER,GND,RIGHT
EPAD,UNIT_PWR,POWER,GND,RIGHT
B7,UNIT_PWR,POWER,AVDD3V3,LEFT
B11,UNIT_PWR,POWER,AVDD3V3,LEFT
A17,UNIT_PWR,POWER,AVDD3V3,LEFT
A27,UNIT_PWR,POWER,AVDD3V3,LEFT
A30,UNIT_PWR,POWER,AVDD3V3,LEFT
A37,UNIT_PWR,POWER,AVDD3V3,LEFT
A40,UNIT_PWR,POWER,AVDD3V3,LEFT
B56,UNIT_PWR,POWER,VDD3V3_SWR,LEFT
A63,UNIT_PWR,POWER,VDD3V3_SWR,LEFT
B46,UNIT_PWR,POWER,DVDD2V7,LEFT
A82,UNIT_PWR,POWER,DVDD2V7,LEFT
A64,UNIT_C,OUTPUT,LX,RIGHT
A65,UNIT_C,OUTPUT,LX,RIGHT
A62,UNIT_PWR,POWER,VDD2V7_REG1,LEFT
A56,UNIT_PWR,POWER,VDD1V5_REG0,LEFT
A71,UNIT_PWR,POWER,VDD1V5_REG1,LEFT
A14,UNIT_PWR,POWER,AVDDVCO_0,LEFT
B29,UNIT_PWR,POWER,AVDDVCO_1,LEFT
B10,UNIT_PWR,POWER,FILCAP_27A_REG0,RIGHT
B4,UNIT_PWR,POWER,FILCAP_27A_0,RIGHT
A20,UNIT_PWR,POWER,FILCAP_27A_1,RIGHT
A34,UNIT_PWR,POWER,FILCAP_27A_2,RIGHT
B40,UNIT_PWR,POWER,FILCAP_27D_0,RIGHT
A51,UNIT_PWR,POWER,FILCAP_27D_1,RIGHT
A61,UNIT_PWR,POWER,FILCAP_15D_0,RIGHT
B63,UNIT_PWR,POWER,FILCAP_15D_1,RIGHT
B12,UNIT_PWR,POWER,FILCAP_12D_0,RIGHT
B19,UNIT_PWR,POWER,FILCAP_12D_1,RIGHT
A47,UNIT_PWR,POWER,FILCAP_12D_2,RIGHT
B50,UNIT_PWR,POWER,FILCAP_12D_3,RIGHT
B69,UNIT_PWR,POWER,FILCAP_12D_4,RIGHT
,,,,
,,,,
